A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
The Milky Way	The galaxy that includes the sun, its solar system, and a chewy layer of caramel. [Core Set, Party Box]
The Mississippi River	The Algonquin words "Misi sipi" mean "big river." What's Algonquin for "muddy"? [Core Set, Party Box]
The Mounties	The Royal Canadian Mounted Police. They always get their man. [Core Expansion 3, Party Box Expansion 1]
The National Enquirer	American tabloid newspaper. Inquiring minds want to know ... Why the heck does this thing sell? [Core Expansion 1, Party Box]
The New York Yankees	Legendary American baseball team. With so much success, it's obvious why they're reviled. [Core Set, Party Box]
The North Pole	Things can only go south from here . . . [Core Expansion 3, Party Box Expansion 1]
The NRA	National Rifle Association. They're gunning for your vote. [Core Set, Party Box]
The Ocean	How deep is the ocean? 12,000 feet. If they'd known that, maybe they wouldn't have written that stupid song. [Core Set, Party Box]
The Old Man And The Sea	Ernest Hemingway's classic novel - fishing, hunger, fishing, torment, fishing, personal loss ... fishing ... [Core Expansion 2, Party Box]
The Olympics	An international athletic competition held every four years. The thrill of victors and the agony of defeat. [Core Expansion 1, Party Box]
The Opera	It ain't over 'til the fat lady sings. Unfortunately, sometimes, not even then. [Core Set, Party Box]
The Ozone Layer	Short for ozonosphere. Theories about the ozone layer are full of holes. [Core Expansion 1, Party Box]
The Pentagon	The five-sided home of the U.S. Department of Defense. [Core Expansion 1, Party Box]
The President	A U.S. president must be at least 35 years old and a natural born citizen. [Junior Set (1st) & (2nd)]
The Princess & The Pea	The true test of a princess, fairy tale or otherwise. [Core Expansion 4, Party Box Expansion 1]
The Pyramids	The Egyptian pyramids were built from about 2700 BC to about 1000 BC. Tut, tut, tut ... [Core Set, Party Box]
The Renaissance	Beginning in the 1300s, started in Italy and spread across Europe. Kind of like Espresso bars ... [Core Set, Party Box]
The Rolling Stones	British "bad boy" rock band formed in 1962. Still touring? [Core Set, Party Box]
The San Andreas Fault	Geological feature in California stretching 600 miles. Like the state doesn't have enough faults already. [Core Set, Party Box]
The Scarlet Letter	Hawthorne's 1845 novel about Puritan New England, moral conflicts, guilt, and down-right nastiness. (It was an "A".) [Core Expansion 3, Party Box Expansion 1]
The South	Dixie: South of the Mason-Dixon line that is. They're not like folks 'round here ... [Core Set, Party Box]
The Statue Of Liberty	"Give me your tired, your poor/ Your huddled masses yearning to breathe free ..." -Emma Lazarus [Core Set, Party Box]
The Super Bowl	Who needs another national holiday? [Core Expansion 2, Party Box]
The Supreme Court	The highest court in the United States. Robes, but no wigs. [Core Expansion 1, Party Box]
The Symphony	It's music to our ears. [Core Expansion 3, Party Box Expansion 1]
The Three Stooges	Nyuk, nyuk, nyuk. A wiseguy, eh? [Core Expansion 3, Party Box Expansion 1]
The Three Tenors	Opera stars Placido Domingo, Jose Carreras, and Luciano Pavarotti began recording as The Three Tenors in 1990. [Core Expansion 2, Party Box]
The Titanic	It sank in 1912. Get over it! [Core Expansion 1, Party Box]
The U.S. Constitution	We the people . . . [Core Expansion 3, Party Box Expansion 1]
The Universe	Everything. The big "It." Huge. Massive. THAT big. [Core Set, Party Box]
The Vatican	The Papal State in the middle of Rome. Home of the Pope, Swiss Guards, and lots of pigeons. [Core Expansion 1, Party Box]
The Vietnam Memorial	"The Wall," built in 1982, was designed by 21-year-old architecture student, Maya Lin. [Core Expansion 2, Party Box]
The Williams Sisters	Venus, 1980-, and Serena, 1981-, Williams, American tennis champs. One heck of a sister act. [Core Expansion 2, Party Box]
The Wright Brothers	In 1903, Wilbur and Orville made the first powered airplane flights in history. Although there were delays at the airport. [Core Set, Party Box]
The YMCA	The Young Men's Christian Association has 30 million members in 110 countries. "It's fun to stay at the Y-M-C-A." -The Village Peopl [Core Expansion 1, Party Box]
The Young & The Restless	Launched in 1973, this soap opera isn't young, but it's still restless. [Core Expansion 4, Party Box Expansion 1]
Thelma & Louise	1991 Ridley Scott film starring Susan Sarandon and Geena Davis as two over-the-edge women. [Core Expansion 4, Party Box Expansion 1]
Thomas Edison	1847-1931, American inventor, developed a light bulb, generator, sound-recorder, and motion picture projector. Show off. [Core Set, Party Box]
Three Men & A Baby	The 1987 comedy film. You do the math. [Core Expansion 4, Party Box Expansion 1]
Throwing Up	It's proof that you really are sick. [Kids Set]
Thunder	"Here it comes again, Thunder and Lightning..." -ELO. [Core Set, Party Box]
Thunder & Lightning	Nature's fireworks. [Core Expansion 4, Party Box Expansion 1]
Tibet	Mountainous region of China and religious enclave for a form of Buddhism called Lamaism. Known as the roof of the world. [Core Expansion 1, Party Box]
Ticks	All ticks are bloodsucking parasites, but not all bloodsucking parasites are ticks. [Core Expansion 2, Party Box]
Tidal Waves	The gigantic ocean waves that strike with tremendous force, and cause considerable damage to life and property. Kind of like Spring Break. [Core Expansion 1, Party Box]
Tiger Woods	1975- , American star of the golf circuit. Known for his athletic skill, and youthful, classic style. [Core Expansion 2, Party Box]
Timbuktu	City of 20,000 located in the West African nation of Mali. The official name if Tombouctou. From here to Timbuktu. [Core Expansion 3, Party Box Expansion 1]
Time Travel	"What do you mean I missed my connection in the 14th Century?" [Core Expansion 3, Party Box Expansion 1]
Timothy McVey	1961-2001, the Oklahoma City Bomber. [Core Expansion 3, Party Box Expansion 1]
Toasted Marshmallows	How do you like yours - golden brown or flaming? [Core Expansion 1, Party Box]
Toasters	Wait -don't stick that fork in there! [Core Expansion 1, Party Box]
Tobacco Companies	Who says tobacco's not addictive? THEY can't give it up ... [Core Expansion 2, Party Box]
Toes	"This little piggy went to market ..." [Core Expansion 1, Party Box]
Tom & Jerry	A good chaser. [Core Expansion 4, Party Box Expansion 1]
Tom Cruise	1962-, American actor. It looked like Ricky Business early on, but by 1986 he was Top Gun. No Mission Impossible for him. [Core Expansion 2, Party Box]
Tom Hanks	1956-, American actor and star of such varied films as Big, Philadelphia, Forrest Gump, Saving Private Ryan and Castaway. [Core Expansion 2, Party Box]
Tomatoes	Most people don't know that a tomato is a fruit. [Kids Set]
Tony Blair	1951-, British Prime Minister, "We will not rest until this evil is driven from our world." Sept. 11, 2001. [Core Expansion 3, Party Box Expansion 1]
Toothpaste	Brush and spit! [Junior Set (2nd)]
Top Of A Rollercoaster	Just remember: what goes UP ... [Core Set, Party Box]
Tornadoes	Funnel-shaped cloud whirling destructively at speeds up to 300 mph. "Honey, do you hear a freight train ... Honey?" [Core Set, Party Box]
Toys	They're not just for Kids Set, anymore ... [Core Set, Party Box]
Track & Field	It's eventful. [Core Expansion 4, Party Box Expansion 1]
Tractors	"She thinks My Tractor's Sexy." - Kenny Chesney [Core Expansion 3, Party Box Expansion 1]
Trailer Parks	Also known as tornado magnets. [Core Expansion 2, Party Box]
Trains	"The Little Engine That Could" is a story about a train that climbs over a mountain. [Kids Set]
Trampolines	Trampolines have been used in circuses wince the 18th century. Despite slumps in popularity, they always seem to bounce back! [Core Expansion 2, Party Box]
Treasure Hunting	Gold Doubloons! Gold Doubloons! AT A YARD SALE? [Core Expansion 3, Party Box Expansion 1]
Tree Huggers	"Environmentalists" to the left. "Wackos" to the right. [Core Set, Party Box]
Trees	Some redwood trees in California are over 300 feet tall and thousands of years old. [Junior Set (1st) & (2nd)]
Trekkies	Beam them up, PLEASE! [Core Expansion 3, Party Box Expansion 1]
Trinidad & Tobago	Tiny, lush Caribbean republic. One of the most prosperous countries in the area due to petroleum and natural gas production. [Core Expansion 4, Party Box Expansion 1]
Truck Stops	Breakfast 24 hours a day and you're on your way. [Core Expansion 1, Party Box]
Truth & Justice	Sounds good on paper. [Core Expansion 4, Party Box Expansion 1]
Turkey & Stuffing	Get stuffed. [Core Expansion 4, Party Box Expansion 1]
Turtles	They pull their legs and heads inside their shells for safety. [Kids Set]
Tyra Banks	1973-, American model, starred in Coyote Ugly. Probably the only time you'll see the words "ugly" and "Tyra Banks" in the same sentence. [Core Expansion 3, Party Box Expansion 1]
Tyrannosaurus Rex	Large carnivorous dinosaur of the latter part of the Mesozoic era. My, what big teeth you have! [Core Set, Party Box]
Umbrella Drinks	Extra fruit, please! [Core Expansion 3, Party Box Expansion 1]
Under My Bed	A good place to hide, if it's not too messy. [Kids Set]
Underwear	"Let's keep this brief." [Core Set, Party Box]
Unicorns	Imaginary horse-like animals. A long, pointed horn grown from the middle of their foreheads. [Junior Set (1st) & (2nd)]
United Nations	The U.N. was founded in 1945, after World War II ended. Its mission is to maintain world peace. If we ever achieve it, that is ... [Core Expansion 2, Party Box]
Urban Sprawl	Oh give me a home where the edge of town roams . . . [Core Expansion 3, Party Box Expansion 1]
Vacations	"Vacation, all I ever wanted, Vacation, had to get away ..." -Go-Go's [Core Expansion 2, Party Box]
Valentine's Day	Will you be my Valentine? [Junior Set (1st) & (2nd)]
Vampires	Legendary bloodsucking monsters. [Core Expansion 2, Party Box]
Velcro	A hook-and-loop fastener that can really grab you. [Core Expansion 3, Party Box Expansion 1]
Venus & Mars	As different as men & women. [Core Expansion 4, Party Box Expansion 1]
Viagra	It works for Bob Dole, it'll work for you. [Core Expansion 3, Party Box Expansion 1]
Victorian England	An era characterized by moral severity and pompous conservatism. [Core Expansion 2, Party Box]
Video Games	Just how DO you get to the thirteenth level of "Doom"? [Core Expansion 1, Party Box]
Vietnam, 1968	More than 30,000 Americans had been killed in the Vietnam War by the end of 1968. [Core Expansion 2, Party Box]
Vincent Van Gogh	1853-90, Dutch post-impressionist painter known for dramatic sunflowers and self-portraits. Only one of his paintings sold during his lifetime. [Core Expansion 2, Party Box]
Violins	It's a pain in the neck, but keep practicing. [Core Expansion 2, Party Box]
Volcanoes	Vents in the crust of the earth from which steam, debris and molten rock spew, with explosive results. [Core Expansion 3, Party Box Expansion 1]
VW Beetles	The prototype for the original VW Beetle was developed in 1934, and production begin in 1945. Functional, yet so fashionable. [Core Expansion 2, Party Box]
Waco, Texas	Texas city near where a 51-day standoff between law-enforcement officials and members of the Branch Davidians occurred in 1993. [Core Expansion 2, Party Box]
Walking The Dog	It's good exercise. [Junior Set (1st) & (2nd)]
Wall Street	The financial center of the United States. See also: roller coaster. [Core Set, Party Box]
Walt Disney	1901-1966, the head of some Mickey Mouse company. [Core Set, Party Box]
War & Peace	Tolstoy's 1805 epic novel of the Napoleonic wars, a celebration of Russian spirit. [Core Expansion 4, Party Box Expansion 1]
Warts	Small, benign, circumscribed tumors of the outer layer of the skin. Warts and all! [Core Expansion 2, Party Box]
Washer & Dryer	Take them out for a spin. [Core Expansion 4, Party Box Expansion 1]
Watching Cartoons	Not just for Kids Set. [Junior Set (2nd)]
Watching Football	Sheer athletic prowess by players in peak physical condition is a glorious thing to behold. Pass the chips and beer. [Core Set, Party Box]
Watching TV	Cartoons and commercials, movies, commercials, shows, commercials, sports, and commercials. [Kids Set]
Water Baloons	I'll fill them and you tie them. [Junior Set (2nd)]
Water Parks	You can go down Dead Man's Drop and I'll take the Lazy River. [Core Expansion 2, Party Box]
Waterbeds	Could serve as a safety precaution for those who smoke in bed. [Core Expansion 1, Party Box]
Waterfalls	"Don't go chasing waterfalls..." -TLC [Core Expansion 2, Party Box]
Watermelon	How far can you spit the seeds? [Kids Set]
Watermelons	Pardeeville, WI - home of the Watermelon Seed-Spitting & Speed-Eating Championship. The record is 2.5 lbs. of melon eaten in 3.5 seconds. [Core Expansion 2, Party Box]
Waxing The Floor	It's a pain in the neck, and back, and knees . . . [Core Expansion 3, Party Box Expansion 1]
Weapons Dealers	OK, what kind you need? Assault, Automatic, Atomic ...? [Core Expansion 1, Party Box]
Weddings	"Ding, dong, the bells are gonna chime ..." -My Fair Lady [Core Set, Party Box]
Weed & Feed	Make sure the grass is greener on YOUR side of the fence. [Core Expansion 4, Party Box Expansion 1]
Weird Al Yankovic	1959-, American musical humorist, born Alfred Matthew Yankovic, which is nothing to laugh about . . . [Core Expansion 3, Party Box Expansion 1]
Wheat	Mainly used in flour. World output of wheat is more than 600 million metric tons a year ... so someone's making a lot of dough. [Core Set, Party Box]
Wheel Of Fortune	American TV game show, BIG MONEY! BIG MONEY!. [Core Expansion 2, Party Box]
Whipped Cream	Great on strawberry shortcake, banana splits, chocolate pudding ... [Core Expansion 1, Party Box]
Whips	"Crack that whip ... whip it, whip it good." -Devo [Core Set, Party Box]
Whips & Chains	Popular before prison reform - the good old days. [Core Expansion 4, Party Box Expansion 1]
White Collar Crime	Three strikes and you're OUT . . . to a cozy little low-level detention facility with a pool and tennis court. [Core Expansion 3, Party Box Expansion 1]
Whoopie Goldberg	1950-, American actor and comedian. Starred in such movies as Ghost, which earned her an Academy Award. Whoopee! [Core Set, Party Box]
Will & Grace	Popular sitcom debuted in 1998. Not your average next door neighbors. [Core Expansion 4, Party Box Expansion 1]
Will Smith	1968- , Successful American rap star, TV star and wildly successful motion picture star. He's got it all. We hate him. [Core Set, Party Box]
William Shakespeare	1564-1616, The English poet and playwright. And all the world IS a stage ... [Core Set, Party Box]
Windsurfing	Really just surfing for lazy people. [Core Set, Party Box]
Wine Tasting	Spit or swallow? [Core Expansion 2, Party Box]
Winning A Trophy	Congratulations! [Junior Set (1st) & (2nd)]
Winning The Lottery	The more you play, the more THEY win. [Core Expansion 1, Party Box]
Wishbone	Star of television and over 50 books. Wishbone is a Jack Russell terrier. [Junior Set (1st) & (2nd)]
Witch Hunts	Popular locations: Salem, Massachusetts and Washington, D.C. [Core Expansion 1, Party Box]
Women	REAL Women. [Core Expansion 2, Party Box]
Women's Soccer	The 1999 World Cup finals was the most-watched women's sporting event in history. [Core Expansion 1, Party Box]
Wood Chippers	"I guess that was your accomplice in the wood chipper." -Marge Gunderson, Fargo [Core Expansion 1, Party Box]
Woodstock	The 1969 love, music and mud festival attended by 400,000. Or, the little yellow bird. [Core Expansion 1, Party Box]
Woody Allen	1935- , American comedian, actor and director, of Bananas, Annie Hall, Hannah and Her Sisters, and lots of New York Stories. [Core Expansion 2, Party Box]
Working Out	No pain, no gain. [Core Expansion 3, Party Box Expansion 1]
Worms	"A man may fish with the worm that hath eat of a king, and eat of the fish that has fed of that worm." -"Hamlet" Shakespeare [Core Set, Party Box]
Writing A Letter	Dear Mom, How are you? I am fine. [Junior Set (1st) & (2nd)]
X-Ray Vision	Available to Superman -for emergency use only. [Core Expansion 1, Party Box]
X-Rays	X-Rays were discovered in 1895 by the German physicist Wilhelm Conrad Roentgen. Now if they could just get those X-ray glasses down. [Core Expansion 2, Party Box]
Xena, Warrior Princess	Popular TV fantasy, adventure program. Xena, played by Lucy Lawless, and her friend Gabrielle, seek adventure and fight evil. [Core Expansion 3, Party Box Expansion 1]
Yellowstone Park	Home to 3000 geysers and hot springs. More gas and hot air than Washington, D.C. [Core Set, Party Box]
Yin & Yang	Two elements that oppose each other and give life balance. If you're lucky. [Core Expansion 4, Party Box Expansion 1]
Zebras	The stripes on each zebra are in a slightly different pattern. [Junior Set (2nd)]
Zen	Japanese form of Buddhism, originated in China. Zen again, maybe not. [Core Expansion 1, Party Box]
Zippers	Zip it, zip it good. [Core Expansion 3, Party Box Expansion 1]
Zombies	Undead ghouls that feed off of brains. So WE'RE safe . . . [Core Expansion 3, Party Box Expansion 1]
Zucchini	A squashed vegetable. [Core Expansion 1, Party Box]
